date,ts,team_a,team_b,target,elo_diff,form_diff,h2h_diff,rounddiff_diff,event
2025-06-07,1749331200,HEROIC,BetBoom Team,1,18.4,0.15,0.0,0.85,BLAST/Major/2025/Austin
2025-06-07,1749331800,Team Falcons,Lynn Vision Gaming,0,31.95,0.1,0.0,0.633,BLAST/Major/2025/Austin
2025-06-07,1749334800,M80,OG,1,-30.39,-0.6,0.0,-5.2,BLAST/Major/2025/Austin
2025-06-07,1749335700,MIBR,Nemiga Gaming,0,-58.81,-0.4,0.0,-0.6,BLAST/Major/2025/Austin
2025-06-08,1749394800,TYLOO,Lynn Vision Gaming,0,2.72,0.0,0.0,-1.143,BLAST/Major/2025/Austin
2025-06-08,1749394800,3DMAX,Nemiga Gaming,1,9.18,-0.0667,0.0,0.233,BLAST/Major/2025/Austin
2025-06-08,1749397800,FURIA,M80,1,-31.26,-0.1667,0.0,1.167,BLAST/Major/2025/Austin
2025-06-08,1749398400,B8,HEROIC,1,-0.92,0.0,0.0,-1.4,BLAST/Major/2025/Austin
2025-06-08,1749401400,FaZe Clan,Legacy,0,61.28,0.3,0.0,3.1,BLAST/Major/2025/Austin
2025-06-08,1749402000,PaiN Gaming,Virtus.pro,0,-22.67,-0.0444,0.5,-1.422,BLAST/Major/2025/Austin
2025-06-08,1749409200,OG,Team Falcons,0,-12.29,0.0,0.0,1.3,BLAST/Major/2025/Austin
2025-06-08,1749412200,MIBR,BetBoom Team,1,-57.15,-0.3333,0.0,-1.333,BLAST/Major/2025/Austin
2025-06-09,1749481200,Nemiga Gaming,M80,1,24.94,0.2381,0.0,1.857,BLAST/Major/2025/Austin
2025-06-09,1749481200,TYLOO,HEROIC,0,-29.98,-0.1667,0.0,-3.125,BLAST/Major/2025/Austin
2025-06-09,1749487800,PaiN Gaming,Lynn Vision Gaming,1,-27.46,-0.125,0.0,-0.375,BLAST/Major/2025/Austin
2025-06-09,1749494100,Team Falcons,MIBR,0,67.08,0.3143,0.0,0.543,BLAST/Major/2025/Austin
2025-06-09,1749494700,FURIA,B8,1,-72.43,-0.4048,0.0,0.452,BLAST/Major/2025/Austin
2025-06-09,1749508500,FaZe Clan,3DMAX,0,15.79,0.1,0.0,1.7,BLAST/Major/2025/Austin
2025-06-10,1749567600,Nemiga Gaming,HEROIC,1,-19.72,-0.0893,0.0,-0.875,BLAST/Major/2025/Austin
2025-06-10,1749576600,B8,Lynn Vision Gaming,0,29.59,0.1587,0.0,0.016,BLAST/Major/2025/Austin
2025-06-10,1749587400,FaZe Clan,MIBR,1,71.6,0.225,0.0,2.775,BLAST/Major/2025/Austin
2026-05-09,1778302800,Aurora Gaming,HEROIC,0,5.66,0.125,0.0,0.375,PGL/2026/Astana
2026-05-09,1778302800,G2 Esports,Fisher College,1,46.69,0.5,0.0,1.667,PGL/2026/Astana
2026-05-09,1778309400,The MongolZ,Magic,1,22.48,0.125,0.0,0.625,PGL/2026/Astana
2026-05-09,1778310300,MOUZ,Gentle Mates,1,16.0,0.1,0.0,0.4,PGL/2026/Astana
2026-05-09,1778320800,Team Spirit,The Huns Esports,1,0.0,0.0,0.0,0.0,PGL/2026/Astana
2026-05-09,1778322300,Team Falcons,K27,1,6.34,0.0,0.0,-0.8,PGL/2026/Astana
2026-05-09,1778326800,PARIVISION,9z Team,0,0.0,0.0,0.0,0.0,PGL/2026/Astana
2026-05-09,1778329800,FURIA,Monte,1,7.53,0.0,0.0,1.25,PGL/2026/Astana
2026-05-10,1778389200,MOUZ,G2 Esports,1,-29.29,-0.3333,0.0,-1.25,PGL/2026/Astana
2026-05-10,1778389200,K27,Gentle Mates,0,-0.44,0.0,0.0,-1.0,PGL/2026/Astana
2026-05-10,1778400900,Aurora Gaming,The Huns Esports,1,32.63,0.6,0.0,2.4,PGL/2026/Astana
2026-05-10,1778402400,The MongolZ,Team Spirit,0,21.45,-0.3333,0.0,-1.222,PGL/2026/Astana
2026-05-10,1778407500,PARIVISION,Fisher College,1,-2.14,0.0,0.0,0.0,PGL/2026/Astana
2026-05-10,1778412000,FURIA,HEROIC,1,-20.31,-0.1111,0.0,0.556,PGL/2026/Astana
2026-05-10,1778413800,Monte,Magic,1,-0.69,0.0,0.0,0.0,PGL/2026/Astana
2026-05-10,1778418600,Team Falcons,9z Team,0,6.04,-0.5,0.0,-2.7,PGL/2026/Astana
2026-05-11,1778475600,HEROIC,Gentle Mates,0,25.84,0.1,0.0,0.5,PGL/2026/Astana
2026-05-11,1778475600,PARIVISION,Aurora Gaming,0,-31.03,-0.1667,0.0,-0.667,PGL/2026/Astana
2026-05-11,1778482500,The MongolZ,G2 Esports,1,-22.75,-0.2,0.0,-0.7,PGL/2026/Astana
2026-05-11,1778484300,Team Falcons,Monte,1,5.39,0.0,0.0,-0.6,PGL/2026/Astana
2026-05-11,1778493600,MOUZ,9z Team,0,16.33,-0.2857,0.0,-0.929,PGL/2026/Astana
2026-05-11,1778493600,K27,Magic,0,-0.69,0.0,0.0,0.5,PGL/2026/Astana
2026-05-11,1778504100,The Huns Esports,Fisher College,1,-0.54,0.0,0.0,0.0,PGL/2026/Astana
2026-05-11,1778505000,FURIA,Team Spirit,0,7.13,-0.4,0.0,-0.6,PGL/2026/Astana
2026-05-12,1778562000,MOUZ,Aurora Gaming,1,-13.85,-0.0893,0.0,-0.482,PGL/2026/Astana
2026-05-12,1778562000,HEROIC,Magic,0,24.4,0.1667,0.0,0.367,PGL/2026/Astana
2026-05-12,1778571900,The MongolZ,Team Falcons,0,15.99,0.0,-0.5,0.7,PGL/2026/Astana
2026-05-12,1778572800,Monte,The Huns Esports,1,-0.9,0.0,0.0,0.0,PGL/2026/Astana
2026-05-12,1778584800,PARIVISION,G2 Esports,0,-40.64,-0.3333,0.0,-1.333,PGL/2026/Astana
2026-05-12,1778585100,FURIA,Gentle Mates,1,5.88,-0.1667,0.0,0.433,PGL/2026/Astana
2026-05-13,1778648400,Gentle Mates,Magic,0,0.08,0.0,0.0,0.5,PGL/2026/Astana
2026-05-13,1778657400,Monte,G2 Esports,0,-39.63,-0.2143,0.0,-0.964,PGL/2026/Astana
2026-05-13,1778666400,The MongolZ,Aurora Gaming,0,-8.3,-0.125,0.0,-0.3,PGL/2026/Astana
2026-06-02,1780396200,M80,Lynn Vision Gaming,1,-59.38,-0.35,0.0,-2.6,Intel Extreme Masters/2026/Cologne
2026-06-02,1780396200,SINNERS Esports,FlyQuest,0,53.96,0.25,0.0,-0.625,Intel Extreme Masters/2026/Cologne
2026-06-02,1780400700,MIBR,THUNDERdOWNUNDER,0,-35.39,-0.1667,0.0,-1.0,Intel Extreme Masters/2026/Cologne
2026-06-02,1780401600,B8,TYLOO,1,39.12,0.1806,0.0,2.375,Intel Extreme Masters/2026/Cologne
2026-06-02,1780404600,HEROIC,Sharks Esports,0,-7.76,-0.1,0.0,-1.2,Intel Extreme Masters/2026/Cologne
2026-06-02,1780405500,GamerLegion,NRG,1,48.35,0.35,0.0,0.75,Intel Extreme Masters/2026/Cologne
2026-06-02,1780408800,BetBoom Team,Gaimin Gladiators,1,-21.76,-0.0714,0.0,-0.571,Intel Extreme Masters/2026/Cologne
2026-06-02,1780410300,BIG,Team Liquid,0,30.7,0.4,0.0,1.2,Intel Extreme Masters/2026/Cologne
2026-06-02,1780414200,HEROIC,Lynn Vision Gaming,0,-33.85,-0.2,0.0,-1.1,Intel Extreme Masters/2026/Cologne
2026-06-02,1780414500,B8,THUNDERdOWNUNDER,1,23.86,-0.3333,0.0,-5.889,Intel Extreme Masters/2026/Cologne
2026-06-02,1780418700,MIBR,TYLOO,1,-20.47,-0.1,0.0,0.9,Intel Extreme Masters/2026/Cologne
2026-06-02,1780418700,SINNERS Esports,NRG,0,11.1,-0.3333,0.0,-1.5,Intel Extreme Masters/2026/Cologne
