date,ts,team_a,team_b,score_a,score_b,winner,event
2025-06-04,1749049200,NRG,Complexity,13,9,NRG,BLAST/Major/2025/Austin
2025-06-04,1749052500,OG,TYLOO,13,4,OG,BLAST/Major/2025/Austin
2025-06-04,1749052800,Lynn Vision Gaming,Nemiga Gaming,10,13,Nemiga Gaming,BLAST/Major/2025/Austin
2025-06-04,1749055500,HEROIC,FlyQuest,2,1,HEROIC,BLAST/Major/2025/Austin
2025-06-04,1749056400,B8,Wildcard,2,1,B8,BLAST/Major/2025/Austin
2025-06-04,1749066300,Imperial Esports,Metizport,2,0,Imperial Esports,BLAST/Major/2025/Austin
2025-06-04,1749067200,Chinggis Warriors,Fluxo,2,1,Chinggis Warriors,BLAST/Major/2025/Austin
2025-06-05,1749135600,Imperial Esports,Legacy,1,2,Legacy,BLAST/Major/2025/Austin
2025-06-05,1749135600,Complexity,TYLOO,0,2,TYLOO,BLAST/Major/2025/Austin
2025-06-05,1749143400,OG,NRG,2,0,OG,BLAST/Major/2025/Austin
2025-06-05,1749144600,Lynn Vision Gaming,Chinggis Warriors,2,1,Lynn Vision Gaming,BLAST/Major/2025/Austin
2025-06-05,1749149400,BetBoom Team,Wildcard,2,0,BetBoom Team,BLAST/Major/2025/Austin
2025-06-05,1749157200,FlyQuest,Nemiga Gaming,0,2,Nemiga Gaming,BLAST/Major/2025/Austin
2025-06-06,1749222000,NRG,Lynn Vision Gaming,0,2,Lynn Vision Gaming,BLAST/Major/2025/Austin
2025-06-06,1749233100,Wildcard,Legacy,0,2,Legacy,BLAST/Major/2025/Austin
2025-06-06,1749241200,FlyQuest,TYLOO,1,2,TYLOO,BLAST/Major/2025/Austin
2025-06-07,1749308400,Team Falcons,B8,8,13,B8,BLAST/Major/2025/Austin
2025-06-07,1749308400,FaZe Clan,HEROIC,13,3,FaZe Clan,BLAST/Major/2025/Austin
2025-06-07,1749311100,Virtus.pro,OG,13,2,Virtus.pro,BLAST/Major/2025/Austin
2025-06-07,1749312000,3DMAX,BetBoom Team,13,4,3DMAX,BLAST/Major/2025/Austin
2025-06-07,1749314100,FURIA,Lynn Vision Gaming,13,4,FURIA,BLAST/Major/2025/Austin
2025-06-07,1749315300,PaiN Gaming,Nemiga Gaming,13,7,PaiN Gaming,BLAST/Major/2025/Austin
2025-06-07,1749317400,MIBR,Legacy,10,13,Legacy,BLAST/Major/2025/Austin
2025-06-07,1749318900,M80,TYLOO,9,13,TYLOO,BLAST/Major/2025/Austin
2025-06-07,1749324600,Virtus.pro,B8,13,3,Virtus.pro,BLAST/Major/2025/Austin
2025-06-07,1749324600,PaiN Gaming,FURIA,13,11,PaiN Gaming,BLAST/Major/2025/Austin
2025-06-07,1749327600,3DMAX,Legacy,7,13,Legacy,BLAST/Major/2025/Austin
2025-06-07,1749328800,FaZe Clan,TYLOO,13,5,FaZe Clan,BLAST/Major/2025/Austin
2025-06-07,1749331200,HEROIC,BetBoom Team,13,9,HEROIC,BLAST/Major/2025/Austin
2025-06-07,1749331800,Team Falcons,Lynn Vision Gaming,9,13,Lynn Vision Gaming,BLAST/Major/2025/Austin
2025-06-07,1749334800,M80,OG,16,13,M80,BLAST/Major/2025/Austin
2025-06-07,1749335700,MIBR,Nemiga Gaming,12,16,Nemiga Gaming,BLAST/Major/2025/Austin
2025-06-08,1749394800,TYLOO,Lynn Vision Gaming,5,13,Lynn Vision Gaming,BLAST/Major/2025/Austin
2025-06-08,1749394800,3DMAX,Nemiga Gaming,13,11,3DMAX,BLAST/Major/2025/Austin
2025-06-08,1749397800,FURIA,M80,13,8,FURIA,BLAST/Major/2025/Austin
2025-06-08,1749398400,B8,HEROIC,13,10,B8,BLAST/Major/2025/Austin
